spp,stand,plot,code,dbh,logs,cond,cut,
yellow birch,1,1,23,6,122,2,,
ash,,,1,5,229,2,,
aspen,,,2,16,2229,3,,
soft maple,,,17,13,22339,3,,
yellow birch,,,23,6,12,1,,
hemlock,,,10,11,333,3,,
soft maple,,,17,14,23339,3,,
hard maple,,,9,8,22,2,,
hard maple,,,9,12,2932,3,,
soft maple,,,17,17,229,3,,
cedar,,2,7,17,9229,3,,
yellow birch,,,23,6,323,3,,
yellow birch,,,23,5,111,1,,
yellow birch,,,23,18,339,5,,
yellow birch,,,23,5,11,2,,
fir,,,3,12,222,2,,
yellow birch,,,23,17,39,5,,
white pine,,,22,8,2222,1,,
yellow birch,,,23,7,129,2,,
white pine,,,22,6,22,3,,
cedar,,,7,16,229,2,,
cedar,,,7,13,29,3,,
cedar,,3,7,14,92,3,,
yellow birch,,,23,15,339,5,,
yellow birch,,,23,15,939,5,,
cedar,,,7,16,229,2,,
cedar,,,7,15,229,2,,
soft maple,,,17,10,222,2,,
yellow birch,,,23,4,33,3,,
fir,,,3,4,22,2,,
soft maple,,4,17,19,2929,6,,
cedar,,5,7,9,222,2,,
cedar,,,7,14,2222,2,,
cedar,,,7,11,329,3,,
cedar,,,7,15,229,3,,
cedar,,,7,17,2922,3,,
cedar,,,7,15,2292,3,,
cedar,,,7,10,322,3,,
cedar,,,7,9,23,3,,
cedar,,,7,13,2222,2,,
cedar,,6,7,4,22,3,,
cedar,,,7,10,222,2,,
cedar,,,7,9,222,2,,
cedar,,,7,15,9939,5,,
cedar,,,7,11,229,3,,
spruce,,,18,12,2222,1,,
spruce,,7,18,14,222222,2,,
spruce,,,18,15,2222222,1,,
soft maple,,,17,11,3329,3,,
spruce,,,18,16,2222222,1,,
spruce,,,18,11,2222222,2,,
fir,,,3,10,222222,6,,
soft maple,,8,17,16,339,5,,
ash,,,1,13,229,3,,
spruce,,,18,10,22222,2,,
yellow birch,,,23,15,2339,3,,
soft maple,,,17,16,9,5,,
hard maple,,,9,10,933,5,,
hard maple,,,9,17,2239,3,,
fir,,,3,6,2222,4,,
hard maple,,,9,4,1122,1,,
fir,,,3,4,22,2,,
hard maple,,9,9,11,3229,3,,
hemlock,,,10,10,22,3,,
soft maple,,,17,19,939,5,,
soft maple,,,17,16,329,3,,
yellow birch,,,23,18,29,3,,
hard maple,,,9,26,33933,5,,
hemlock,,,10,17,2232,3,,
yellow birch,,,23,11,2239,2,,
hemlock,,,10,9,22,3,,
hemlock,,,10,15,2223,3,,
soft maple,,,17,10,2223,2,,
beech,,,5,19,39,5,,
hemlock,,,10,12,92222,3,,
ash,,,1,10,229,3,,
ash,,,1,12,22239,2,,
hemlock,,,10,12,2229,3,,
hemlock,,,10,15,23222,3,,
hard maple,,10,9,10,23239,3,,
hard maple,,,9,8,223,3,,
yellow birch,,,23,16,9,5,,
hard maple,,,9,19,9,5,,
hard maple,,,9,16,22239,2,,
yellow birch,,,23,11,2122,1,,
spruce,,,18,6,22,2,,
yellow birch,,,23,17,3239,3,,
yellow birch,,,23,16,2329,3,,
hemlock,,,10,7,222,3,,
hemlock,,,10,8,239,3,,
hemlock,,,10,14,39,5,,
hard maple,,11,9,12,22239,2,,
yellow birch,,,23,7,3239,3,,
hard maple,,,9,25,9,5,,
hard maple,,,9,9,3229,3,,
ash,,,1,5,222,1,,
hard maple,,,9,18,9,5,,
hard maple,,,9,13,22229,2,,
hard maple,,,9,15,332239,3,,
hemlock,,12,10,12,229,3,,
soft maple,,,17,15,229,3,,
hemlock,,,10,15,222222,2,,
soft maple,,,17,20,22229,2,,
hemlock,,,10,13,222222,2,,
hemlock,,,10,9,2229,3,,
yellow birch,,,23,13,229,3,,
yellow birch,,,23,17,2229,3,,
hemlock,,,10,16,222222,2,,
yellow birch,,,23,8,9,5,,
yellow birch,,,23,12,229,3,,
hemlock,,,10,12,22222,2,,
hemlock,,,10,18,2222222,2,,
hemlock,,,10,18,2222222,2,,
hemlock,,,10,17,22222,3,,
hemlock,,,10,12,2222,3,,
hemlock,,,10,14,22222,3,,
hemlock,,,10,14,222222,3,,
hemlock,,,10,15,2222222,3,,
hard maple,,13,9,5,112,1,,
hard maple,,,9,14,9329,3,,
hard maple,,,9,10,12239,4,,
hard maple,,,9,9,1229,2,,
black cherry,,,6,13,22939,2,,
hard maple,,,9,4,1122,1,,
ash,,,1,18,222229,2,,
beech,,,5,15,9,5,,
hard maple,,,9,8,1229,1,,
yellow birch,,,23,16,23239,3,,
hard maple,,14,9,13,1239,4,,
hard maple,,,9,14,1239,1,,
hard maple,,,9,10,2239,4,,
hard maple,,,9,4,22,2,,
hard maple,,,9,11,22239,3,,
basswood,,,4,12,229,6,,
hard maple,,,9,18,31229,2,,
hard maple,,,9,16,2239,,,
hard maple,,,9,5,9,5,,
yellow birch,,,23,5,1122,1,,
fir,,15,3,6,2222,2,,
aspen,,,2,15,22229,3,,
spruce,,,18,9,222222,1,,
fir,,,3,4,222,4,,
spruce,,,18,4,22,2,,
soft maple,,,17,7,9,5,,
soft maple,,,17,11,2329,3,,
soft maple,,,17,12,339,5,,
fir,,,3,7,222,2,,
fir,,,3,6,222,2,,
fir,,,3,4,22,2,,
fir,,,3,6,222,2,,
fir,,,3,6,22,4,,
spruce,,,18,8,222,1,,
fir,,,3,8,222,4,,
fir,,,3,5,222,2,,
fir,,,3,4,9,5,,
beech,,,5,13,9,5,,
hard maple,,,9,12,339,6,,
hard maple,,,9,22,9,5,,
hard maple,,,9,24,9,6,,
soft maple,,16,17,17,2239,2,,
fir,,,3,5,22,2,,
fir,,,3,7,222,2,,
fir,,,3,8,2222,2,,
fir,,,3,5,222,2,,
hemlock,,,10,21,3339,5,,
fir,,,3,4,22,2,,
fir,,,3,5,222,2,,
fir,,,3,4,222,2,,
paper birch,,,13,11,29,3,,
fir,,,3,4,222,2,,
fir,,,3,6,222,2,,
cedar,,18,7,15,222,2,,
yellow birch,,,23,10,29,3,,
cedar,,,7,7,9,5,,
cedar,,,7,12,222222,2,,
cedar,,,7,14,222,2,,
soft maple,,,17,16,2239,6,,
cedar,,,7,13,229,3,,
cedar,,,7,12,229,3,,
hard maple,,,9,8,2239,3,,
cedar,,,7,6,229,3,,
cedar,,,7,11,222,3,,
cedar,,,7,11,22222,2,,
cedar,,,7,13,3222,3,,
fir,,19,3,11,222222,2,,
ash,,,1,5,2222,4,,
yellow birch,,,23,4,112,1,,
white pine,,,22,13,22229,3,,
yellow birch,,,23,8,233,4,,
paper birch,,,13,6,2229,2,,
cedar,,,7,13,29,6,,
cedar,,,7,12,222,3,,
cedar,,,7,14,329,3,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,gry birch
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
